Primary ID,Date,Oil type,Manufacturer,Batch number,Spectra number,0.88 ppm,0.89 ppm,0.90 ppm,0.98 ppm,1.31 ppm,1.36 ppm,1.61 ppm,1.68 ppm,2.05 ppm,2.01 ppm,2.19 ppm,2.31 ppm,2.77 ppm,4.14 ppm,4.29 ppm,5.12 ppm,5.26 ppm,5.34 ppm,5.43 ppm,5.69 ppm,6.05 ppm,6.45 ppm
119,02/10/2025,Sea buckthorn oil,A,42767,119,136.82,72.18,26.26,10.4,6312.89,373.59,706.84,3.78,720.51,155.27,8.92,708.39,88.23,240.2,236.16,1.83,114.37,516.73,08.06,0.04,0.09,
120,06/10/2025,Sea buckthorn oil,D,43497,120,151.31,64.62,24.19,11.35,7000.46,373.01,773.15,3.26,732.65,159.17,8.33,758.1,88.13,261.4,258.28,02.01,118.09,483.26,2.71,0.05,0.15,
121,"October 07, 2025",Sea buckthorn oil,C,43525,121,170.14,62.1,21.8,10.0,6786.08,354.67,750.16,3.23,729.46,149.89,8.54,725.55,86.59,255.49,250.9,1.59,119.81,517.98,6.81,0.09,0.08,
122,"October 07, 2025",Sea buckthorn oil,D,43525,122,136.3,72.46,26.26,10.51,6361.4,374.24,705.57,3.79,715.56,155.17,8.96,705.41,88.48,241.38,237.63,1.85,114.26,517.63,8.12,0.04,0.09,
123,2025-10-02,Sea buckthorn oil,C,42767,123,137.25,72.64,26.23,10.41,6364.7,373.69,703.31,3.78,716.24,155.04,8.91,707.7,88.4,242.52,237.75,1.82,114.91,517.72,8.17,0.04,0.09,
124,03/10/2025,Sea buckthorn oil,A,43525,124,158.9,60.58,14.5,11.82,6536.46,350.88,695.02,3.1,695.31,142.61,7.25,691.52,81.95,248.93,243.95,2.12,115.92,504.11,7.14,0.04,0.06,
125,02/10/2025,Sea buckthorn oil,D,43497,125,139.78,68.44,,10.42,6530.51,352.87,,03.05,688.43,147.3,10.56,711.25,84.35,245.93,244.91,1.68,110.38,452.58,2.41,0.11,0.19,
126,2025-10-02,Sea buckthorn oil,A,43525,126,152.03,65.07,24.26,11.23,7049.75,374.29,774.57,3.24,737.34,158.99,8.43,753.2,88.58,262.86,260.25,02.04,118.29,486.58,2.91,0.05,0.15,
127,03/10/2025,Sea buckthorn oil,C,42767,127,150.12,78.59,18.06,11.51,6991.56,391.47,769.58,4.2,745.46,160.76,6.31,746.52,88.7,271.13,261.6,,124.01,540.11,08.08,0.13,0.23,
128,06/10/2025,Sea buckthorn oil,C,43525,128,137.05,71.82,26.47,10.42,6388.76,373.19,703.18,3.82,719.75,155.39,09.02,704.8,88.19,242.92,238.14,1.82,114.44,515.36,08.06,0.04,0.09,
129,"October 07, 2025",Sea buckthorn oil,C,43497,129,141.45,68.11,,10.39,6488.18,352.79,,3.1,685.78,147.42,10.47,708.62,84.36,246.32,244.88,1.69,110.4,454.36,2.42,0.11,0.19,
130,02/10/2025,Sea buckthorn oil,A,42767,130,149.93,78.44,17.9,11.49,7010.07,391.54,766.78,4.2,746.58,160.46,6.33,747.1,88.77,270.61,261.11,,124.59,539.47,8.15,0.13,0.23,
131,"October 07, 2025",Sea buckthorn oil,C,43497,131,151.68,65.35,24.29,11.21,6994.69,371.81,777.36,3.26,737.39,159.46,8.34,752.99,88.32,263.59,259.75,02.04,118.46,485.17,2.99,0.05,0.15,
132,06/10/2025,Sea buckthorn oil,A,42767,132,189.04,67.46,17.42,12.59,7535.82,407.56,807.85,4.35,813.64,171.96,7.44,770.0,98.72,289.69,279.96,2.9,130.09,582.36,8.93,0.04,0.14,
133,03/10/2025,Sea buckthorn oil,D,43525,133,150.75,53.01,22.48,9.73,6359.21,370.7,726.74,3.57,715.15,153.8,6.4,688.48,87.35,236.82,232.12,1.87,112.9,514.41,7.77,0.05,0.12,0.2
134,06/10/2025,Sea buckthorn oil,C,42767,134,140.22,68.0,,10.36,6524.18,352.78,,03.08,683.51,146.61,10.48,709.76,83.9,248.23,244.89,1.66,110.63,454.71,2.44,0.11,0.18,
135,06/10/2025,Sea buckthorn oil,C,42767,135,138.42,73.38,23.8,10.14,6710.27,388.84,766.45,3.92,750.01,158.43,7.98,734.53,91.38,252.86,250.63,,116.15,500.11,3.17,0.06,0.1,0.11
136,"October 07, 2025",Sea buckthorn oil,C,43525,136,188.64,67.37,17.54,12.61,7588.3,407.37,806.61,4.37,814.55,171.21,7.54,767.8,98.28,288.62,280.44,2.89,130.09,585.91,9.11,0.04,0.14,
137,02/10/2025,Sea buckthorn oil,D,43497,137,149.94,53.3,22.44,9.62,6325.34,372.31,726.89,3.62,713.67,154.1,6.51,686.86,87.6,237.11,231.46,1.89,112.51,516.68,7.92,0.05,0.12,0.2
138,06/10/2025,Sea buckthorn oil,C,43525,138,159.25,60.43,14.49,11.85,6532.33,353.5,695.33,03.07,690.53,143.53,7.3,690.52,82.31,249.17,244.28,2.13,115.73,502.71,07.02,0.04,0.06,
139,"October 07, 2025",Sea buckthorn oil,A,42767,139,139.68,67.29,22.6,10.45,6529.66,353.12,715.6,3.1,687.03,146.8,10.54,708.21,84.14,246.56,245.32,1.69,110.64,457.13,2.36,0.11,0.19,
140,02/10/2025,Sea buckthorn oil,A,43525,140,171.09,62.27,21.86,9.99,6817.15,355.29,753.21,3.26,727.84,151.02,8.36,725.77,86.93,256.53,251.58,1.62,119.25,513.54,6.54,0.09,0.08,
141,03/10/2025,Sea buckthorn oil,C,42767,141,140.65,72.83,24.06,10.12,6696.34,391.32,758.52,3.9,748.84,158.64,7.88,730.91,91.51,253.79,250.81,,115.63,498.42,03.06,0.06,0.1,0.11
142,03/10/2025,Sea buckthorn oil,C,43525,142,158.92,60.3,14.54,11.81,6505.99,351.68,696.92,03.01,690.96,143.26,7.29,693.14,81.92,248.06,243.86,2.15,115.63,502.71,6.95,0.04,0.06,
143,2025-10-02,Sea buckthorn oil,D,43525,143,150.57,64.3,24.05,11.3,6998.38,373.32,778.31,3.25,739.12,159.31,8.27,755.92,88.36,262.16,258.96,02.08,118.13,485.94,2.87,0.05,0.15,
144,"October 07, 2025",Sea buckthorn oil,D,43497,144,159.1,60.08,14.29,11.9,6516.14,350.23,696.85,3.1,693.12,143.13,7.4,693.05,82.59,248.45,244.84,2.14,115.82,505.01,07.03,0.04,0.06,
145,02/10/2025,Sea buckthorn oil,D,42767,145,140.33,68.7,22.79,10.39,6517.8,352.32,713.46,3.1,687.01,146.94,10.43,709.75,84.07,246.69,244.93,1.66,110.6,455.74,2.78,0.11,0.19,
146,06/10/2025,Sea buckthorn oil,C,43497,146,151.66,64.23,24.13,11.26,6989.1,372.38,776.0,3.21,731.88,159.14,8.32,755.43,88.52,262.59,259.75,02.03,118.53,487.72,2.99,0.05,0.15,
147,03/10/2025,Sea buckthorn oil,D,42767,147,139.84,73.46,24.22,10.1,6678.22,389.21,765.33,3.88,752.38,159.12,7.9,732.99,91.66,253.16,250.35,,116.08,498.98,3.14,0.06,0.1,0.11
148,02/10/2025,Sea buckthorn oil,D,43525,148,139.26,68.19,22.32,10.45,6521.84,354.17,716.04,03.03,686.57,147.11,10.48,711.29,84.35,246.0,244.56,1.7,110.55,452.9,2.45,0.11,0.19,
149,"October 07, 2025",Sea buckthorn oil,A,42767,149,151.53,78.45,18.48,11.47,6998.12,391.61,768.22,4.23,748.15,161.07,6.37,746.66,89.15,270.45,261.76,,124.5,543.83,8.24,0.13,0.23,
150,2025-10-02,Sea buckthorn oil,D,43497,150,169.93,61.81,21.79,9.97,6790.72,353.21,752.27,3.25,729.94,150.38,8.55,724.16,86.36,256.44,249.84,1.6,119.75,511.24,6.83,0.09,0.08,
